Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,detailed_label,parent_label
172.31.69.25-18.219.9.1-80-64026-6,18.219.9.1,64026,172.31.69.25,80,6,20/02/2018 10:41:08,866275,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,1135.897954,8.080574875,144379.1667,353442.7038,865841.0,2.0,392.0,196.0,274.3574311,390.0,2.0,866270.0,288756.6667,499769.7243,865841.0,37.0,0,0,0,0,72,92,3.463103518,4.617471357,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.229.235-80-58029-6,18.218.229.235,58029,172.31.69.25,80,6,20/02/2018 10:28:39,1581066,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,622.3649108,4.427392658,263511.0,645103.5579,1580323.0,1.0,711.0,355.5,501.3387079,710.0,1.0,1581063.0,527021.0,912186.3536,1580323.0,29.0,0,0,0,0,72,92,1.897453996,2.529938662,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.55.126-80-58891-6,18.218.55.126,58891,172.31.69.25,80,6,20/02/2018 10:30:58,1151469,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,854.5605657,6.079191016,191911.5,469899.1038,1151089.0,3.0,346.0,173.0,192.3330445,309.0,37.0,1151466.0,383822.0,664472.7331,1151089.0,27.0,0,0,0,0,72,92,2.605367578,3.473823438,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.219.5.43-80-53753-6,18.219.5.43,53753,172.31.69.25,80,6,20/02/2018 10:19:56,1782921,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,551.9033092,3.926141427,297153.5,727729.9374,1782626.0,2.0,267.0,133.5,185.9690835,265.0,2.0,1782917.0,594305.6667,1029115.604,1782626.0,25.0,0,0,0,0,72,92,1.68263204,2.243509387,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.11.51-80-60763-6,18.218.11.51,60763,172.31.69.25,80,6,20/02/2018 10:35:58,1064121,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,924.7068707,6.578199284,177353.5,434250.2056,1063763.0,5.0,322.0,161.0,137.1787156,258.0,64.0,1064116.0,354705.3333,614061.9705,1063763.0,26.0,0,0,0,0,72,92,2.819228264,3.758971019,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.219.9.1-80-61802-6,18.219.9.1,61802,172.31.69.25,80,6,20/02/2018 10:36:19,1779587,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,552.9372826,3.933496929,296597.8333,726298.7925,1779149.0,1.0,407.0,203.5,286.3782464,406.0,1.0,1779585.0,593195.0,1027066.309,1779149.0,27.0,0,0,0,0,72,92,1.685784398,2.247712531,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.11.51-80-58991-6,18.218.11.51,58991,172.31.69.25,80,6,20/02/2018 10:32:12,972836,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,1011.475727,7.195457405,162139.3333,396845.6159,972197.0,7.0,605.0,302.5,108.1873375,379.0,226.0,972826.0,324275.3333,561116.6966,972197.0,27.0,0,0,0,0,72,92,3.083767459,4.111689946,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.115.60-80-65420-6,18.218.115.60,65420,172.31.69.25,80,6,20/02/2018 10:46:50,1537406,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,640.0391308,4.553123898,256234.3333,626671.2175,1535421.0,5.0,1954.0,977.0,849.942351,1578.0,376.0,1537401.0,512467.0,885904.6776,1535421.0,24.0,0,0,0,0,72,92,1.951338814,2.601785085,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.115.60-80-56181-6,18.218.115.60,56181,172.31.69.25,80,6,20/02/2018 10:26:09,1044266,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,942.2886506,6.703272921,174044.3333,425522.0287,1042637.0,16.0,1579.0,789.5,642.7600641,1244.0,335.0,1044249.0,348083.0,601501.9037,1042637.0,34.0,0,0,0,0,72,92,2.872831252,3.830441669,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.219.5.43-80-50819-6,18.219.5.43,50819,172.31.69.25,80,6,20/02/2018 10:48:37,1202332,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,818.4095574,5.822019209,200388.6667,490603.1052,1201828.0,9.0,474.0,237.0,313.9554108,459.0,15.0,1202318.0,400772.6667,693734.3047,1201828.0,21.0,0,0,0,0,72,92,2.49515109,3.32686812,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.115.60-80-61029-6,18.218.115.60,61029,172.31.69.25,80,6,20/02/2018 10:37:02,1603047,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,613.8310355,4.366684196,267174.5,653681.5146,1601496.0,5.0,1498.0,749.0,578.413347,1158.0,340.0,1603042.0,534347.3333,924178.1409,1601496.0,46.0,0,0,0,0,72,92,1.871436084,2.495248112,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.216.200.189-80-51409-6,18.216.200.189,51409,172.31.69.25,80,6,20/02/2018 10:14:13,972497,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,1011.828314,7.197965649,162082.8333,396828.705,972106.0,4.0,359.0,179.5,191.6259377,315.0,44.0,972493.0,324164.3333,561133.9682,972106.0,27.0,0,0,0,0,72,92,3.084842421,4.113123228,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.219.5.43-80-50439-6,18.219.5.43,50439,172.31.69.25,80,6,20/02/2018 10:47:48,1315819,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,747.8232188,5.319880622,219303.1667,536776.2917,1314993.0,1.0,794.0,397.0,560.0285707,793.0,1.0,1315813.0,438604.3333,758974.9466,1314993.0,25.0,0,0,0,0,72,92,2.279948838,3.039931784,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.55.126-80-62566-6,18.218.55.126,62566,172.31.69.25,80,6,20/02/2018 10:38:54,1370079,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,718.2067603,5.109194433,228346.5,559129.6077,1369665.0,1.0,363.0,181.5,255.265548,362.0,1.0,1370065.0,456688.3333,790661.0024,1369665.0,41.0,0,0,0,0,72,92,2.189654757,2.919539676,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.219.9.1-80-62460-6,18.219.9.1,62460,172.31.69.25,80,6,20/02/2018 10:37:45,1423976,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,691.0228824,4.915813188,237329.3333,581174.1132,1423646.0,1.0,305.0,152.5,214.2533547,304.0,1.0,1423972.0,474657.3333,821848.3055,1423646.0,21.0,0,0,0,0,72,92,2.106777081,2.809036107,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.115.60-80-49903-6,18.218.115.60,49903,172.31.69.25,80,6,20/02/2018 10:48:46,1730497,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,568.6227714,4.045080691,288416.1667,705526.6758,1728566.0,11.0,1903.0,951.5,737.5123728,1473.0,430.0,1730486.0,576828.6667,997434.2359,1728566.0,16.0,0,0,0,0,72,92,1.73360601,2.31147468,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.219.5.43-80-59606-6,18.219.5.43,59606,172.31.69.25,80,6,20/02/2018 10:32:25,1793245,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,548.7259131,3.903538,298874.1667,731934.4063,1792929.0,2.0,293.0,146.5,204.3538598,291.0,2.0,1793239.0,597746.3333,1035058.56,1792929.0,20.0,0,0,0,0,72,92,1.672944857,2.230593143,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.229.235-80-52476-6,18.218.229.235,52476,172.31.69.25,80,6,20/02/2018 10:16:49,14574983,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.137221429,14600000.0,0.0,14600000.0,14600000.0,14600000.0,14600000.0,0.0,14600000.0,14600000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.137221429,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0.0,0.0,0,0,14600000.0,0.0,14600000.0,14600000.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.218.229.235-80-51960-6,18.218.229.235,51960,172.31.69.25,80,6,20/02/2018 10:15:42,1552421,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,633.8486789,4.509086131,258736.8333,633588.5397,1552044.0,2.0,347.0,173.5,242.5376259,345.0,2.0,1552396.0,517465.3333,895971.4204,1552044.0,24.0,0,0,0,0,72,92,1.932465485,2.576620646,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
172.31.69.25-18.216.24.42-80-52061-6,18.216.24.42,52061,172.31.69.25,80,6,20/02/2018 10:51:47,1242625,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241.0,482.0,791.8720451,5.633236093,207104.1667,507135.9198,1242291.0,1.0,308.0,154.0,216.374675,307.0,1.0,1242621.0,414207.0,717141.7947,1242291.0,22.0,0,0,0,0,72,92,2.41424404,3.218992053,0,964,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,DDoS attacks-LOIC-HTTP,DDoS
